PhotoID,X,Y,Z,Omega,Phi,Kappa,r11,r12,r13,r21,r22,r23,r31,r32,r33
DSC00514,604965.7202500974526629,3768243.2302839090116322,882.0128213280553382,3.4039991172082602,1.3087367354338999,85.6978582686226957,0.0749964330104273,0.9955247192848274,0.0574984202268043,-0.9969222033525805,0.0735313353679538,0.0271893946538397,0.0228397788594635,-0.0593605593965485,0.9979752845084792
DSC00515,604931.2916878152173012,3768240.1809953320771456,882.0897923547257733,1.6960983479611142,1.0383030805608913,84.7986913299820912,0.0906404415790666,0.9954946326307283,0.0278342730058404,-0.9957188088986528,0.0900814740500415,0.0207215259674548,0.0181208155390421,-0.0295933174278170,0.9993977544540597
DSC00516,604898.9966773068299517,3768238.3678398029878736,882.0116324952059585,1.8355184867773080,0.6104810674641439,87.7644307777986228,0.0390059298910446,0.9987394920249684,0.0315905761745950,-0.9991821729476216,0.0386471146410469,0.0118905758309285,0.0106547030462690,-0.0320285435140240,0.9994301624942918
DSC00517,604867.1395705472677946,3768237.1402730494737625,882.0309257826584144,1.7521538153070615,0.4830407086117958,87.6406606997776265,0.0411651396843471,0.9986957462640540,0.0302032724858165,-0.9991167885117314,0.0408898001422103,0.0096781794948356,0.0084305509174870,-0.0305750002193683,0.9994969210421878
DSC00518,604835.2612986706662923,3768236.1213583359494805,882.0340122909331058,1.2967727885355853,0.3278427603944993,86.4313156089049244,0.0622440092420671,0.9978133406843602,0.0222310698301009,-0.9980445596884951,0.0620998449122810,0.0071180150371182,0.0057219043745451,-0.0226306520937423,0.9997275195752794
DSC00519,604803.1418751720339060,3768235.0685424655675888,881.9704057594748292,2.5738986228448062,0.1334663750643587,87.3647832993823670,0.0459768694217148,0.9979395068307576,0.0447534153396494,-0.9989397886032226,0.0458261104397379,0.0043893447476858,0.0023294255789056,-0.0449077755889723,0.9989884210881140
DSC00520,604771.1530815174337476,3768234.0754548879340291,881.9910526857331661,0.7331571668303762,0.5947892074949913,86.8152503859616616,0.0555527551151069,0.9983812249110656,0.0121992271968802,-0.9984017876014732,0.0554185757942742,0.0110748350379282,0.0103808435738127,-0.0127949678395235,0.9998642542288836
DSC00521,604739.4274852224625647,3768233.1578904879279435,882.0062892015180296,1.4145752163993850,0.3324672935641174,87.0013752583115405,0.0523111056482190,0.9983339436894272,0.0243492320900920,-0.9986139784066640,0.0521529937745716,0.0070843045646376,0.0058026163647012,-0.0246860713331584,0.9996784120533254
DSC00522,604707.2306465510046110,3768232.3161712335422635,881.9754999074310717,2.6220423338931096,0.1848329356978364,87.3257510813217408,0.0466572609725858,0.9978720156740920,0.0455471221161205,-0.9989057479684956,0.0464612381849284,0.0053535055640189,0.0032259376988143,-0.0457470619914339,0.9989478463088628
DSC00523,604675.3123480244539678,3768231.3748624757863581,881.9683698201697553,1.0619440730567924,0.7234920141853204,86.8375777795714470,0.0551622616092424,0.9983185745362702,0.0178086672725167,-0.9983975581975616,0.0549235203808292,0.0136280113781548,0.0126269821929061,-0.0185318818484885,0.9997485327200304
